exit_id,setup_id,month,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,cumulative_end_balance
fixed_60m,baseline,2025-09,21,317,317,0,133,178,6,0.4195583596214511,6365.0,-9295.0,0.6847767616998386,-2930.0,-9.242902208201892,-1.9959368364003829,-2.397260273972601,97070.0,-2.93,3442.0,3.428150272897494,317.0,93343.0
fixed_60m,baseline,2025-10,23,364,364,0,148,213,3,0.4065934065934066,12485.0,-13334.000000000002,0.9363281835908204,-849.0000000000005,-2.3324175824175835,-0.009380146198052844,-3.296703296703285,99151.0,-0.8490000000000004,3470.0,3.434249463089241,332.3478260869565,92494.0
fixed_60m,baseline,2025-11,19,318,318,0,132,180,6,0.41509433962264153,13783.0,-15485.0,0.8900871811430416,-1702.0000000000005,-5.352201257861637,-1.738096417163783,-2.643728222996511,98298.0,-1.7020000000000004,3688.0,3.6626544313351603,351.4736842105263,90792.0
fixed_60m,baseline,2025-12,22,346,346,0,133,208,5,0.38439306358381503,8833.0,-12843.0,0.6877676555321965,-4009.9999999999986,-11.58959537572254,-3.458691267780838,-4.197802197802192,95990.0,-4.009999999999999,5245.0,5.234739909776837,330.27272727272725,86782.0
fixed_60m,baseline,2026-01,20,315,315,0,145,164,6,0.4603174603174603,8379.0,-9148.0,0.9159379099256668,-769.0000000000008,-2.4412698412698437,-0.099406988658808,-1.1111111111111072,99231.0,-0.7690000000000008,1979.0,1.9761148722864619,330.75,86013.0
fixed_60m,baseline,2026-02,19,331,331,0,115,211,5,0.3474320241691843,6957.0,-16007.0,0.4346223527206847,-9050.0,-27.341389728096676,-6.1083988805268,-5.699481865284972,90950.0,-9.049999999999999,10097.0,9.992874250311752,365.8421052631579,76963.0
fixed_60m,baseline,2026-03,22,422,422,0,187,229,6,0.4431279620853081,15494.0,-13922.0,1.1129148110903606,1571.9999999999986,3.725118483412319,0.9943051446284434,-2.0449513305760947,101572.0,1.5719999999999987,3007.0,3.006008017354273,402.81818181818187,78535.0
fixed_60m,baseline,2026-04,21,384,384,0,151,230,3,0.3932291666666667,13552.0,-13246.0,1.023101313604107,305.99999999999955,0.7968749999999988,0.4367750475323902,-4.78078948701069,100306.0,0.30599999999999955,2783.0,2.7396855711205834,384.0,78841.0
fixed_60m,baseline,2026-05,16,291,291,0,131,156,4,0.45017182130584193,11915.0,-11132.0,1.0703377650017967,782.9999999999995,2.6907216494845345,0.9526519414547643,-3.8043478260869623,100783.0,0.7829999999999995,3139.0,3.027117728745564,381.9375,79624.0
fixed_60m,inclusion,2025-07,5,67,67,0,30,35,2,0.44776119402985076,1920.0,-1409.0,1.362668559261888,511.0,7.626865671641791,3.0744397938285086,-0.9433962264150941,100511.0,0.511,640.0,0.6387926818313387,281.40000000000003,100511.0
fixed_60m,inclusion,2025-08,21,280,280,0,121,152,7,0.43214285714285716,5158.0,-7638.0,0.6753076721654884,-2479.9999999999995,-8.857142857142856,-2.987397334117316,-2.0221370796083384,97520.0,-2.4799999999999995,2480.0,2.48,280.0,98031.0
fixed_60m,inclusion,2025-09,21,291,291,0,129,157,5,0.44329896907216493,6311.0,-7827.0,0.8063114858822026,-1516.0000000000002,-5.209621993127149,-1.0645818701284022,-1.5000000000000013,98484.0,-1.5160000000000002,2205.0,2.1932223957349035,291.0,96515.0
fixed_60m,inclusion,2025-10,23,324,324,0,139,182,3,0.42901234567901236,12180.0,-10875.0,1.12,1304.9999999999995,4.027777777777777,1.0836633901223298,-2.218304083975725,101305.0,1.3049999999999995,1963.0,1.9416611440271416,295.82608695652175,97820.0
fixed_60m,inclusion,2025-11,19,279,279,0,129,145,5,0.46236559139784944,13513.0,-12178.0,1.1096239119724092,1334.9999999999998,4.784946236559139,0.13817865255979062,-1.0101010101010055,101335.0,1.3349999999999997,3131.0,3.0808741771379653,308.36842105263156,99155.0
fixed_60m,inclusion,2025-12,22,319,319,0,124,190,5,0.3887147335423197,8244.000000000002,-11791.0,0.6991773386481216,-3546.999999999998,-11.119122257053286,-3.167208902182316,-4.39560439560438,96453.0,-3.546999999999998,5227.0,5.221360930195389,304.5,95608.0
fixed_60m,inclusion,2026-01,20,286,286,0,139,141,6,0.486013986013986,8024.0,-7583.0,1.0581564024792298,440.99999999999943,1.5419580419580399,0.9382389580252459,0.0,100441.0,0.44099999999999945,1312.0,1.3100872725820303,300.3,96049.0
fixed_60m,inclusion,2026-02,19,293,293,0,105,183,5,0.3583617747440273,5796.0,-12725.0,0.45548133595284873,-6928.999999999999,-23.648464163822524,-5.371187818864017,-4.6875,93071.0,-6.928999999999999,7654.0,7.598907917597418,323.84210526315786,89120.0
fixed_60m,inclusion,2026-03,22,362,362,0,159,197,6,0.43922651933701656,12964.0,-12104.0,1.0710508922670192,859.9999999999984,2.375690607734802,0.7527522751400664,-2.228561978003807,100860.0,0.8599999999999984,2842.0,2.8410624493917007,345.5454545454545,89980.0
fixed_60m,inclusion,2026-04,21,336,336,0,135,198,3,0.4017857142857143,11719.0,-10503.0,1.115776444825288,1216.0,3.619047619047619,0.9631895393376805,-4.2600646816103485,101216.0,1.216,2021.0,1.9858309341560954,336.0,91196.0
