trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T001324,underlying_invalidation_eod,8,True,True,True,False,False,False
T001313,underlying_invalidation_eod,8,True,True,True,False,False,False
T001311,underlying_invalidation_eod,12,True,True,False,True,True,True
T001312,underlying_invalidation_eod,12,True,True,False,True,True,True
T001316,underlying_invalidation_eod,11,True,True,True,False,False,False
T001318,underlying_invalidation_eod,9,True,False,True,False,False,False
T001321,underlying_invalidation_eod,12,True,True,False,True,True,True
T001323,underlying_invalidation_eod,11,True,True,True,False,False,False
T001326,underlying_invalidation_eod,12,True,True,False,True,True,True
T001328,underlying_invalidation_eod,12,True,True,False,True,True,True
T001330,underlying_invalidation_eod,5,True,False,True,False,False,False
T001335,underlying_invalidation_eod,4,True,True,True,False,False,False
T001337,underlying_invalidation_eod,8,True,True,True,False,False,False
T001332,underlying_invalidation_eod,8,True,True,True,False,False,False
T001333,underlying_invalidation_eod,5,True,False,True,False,False,False
T001338,underlying_invalidation_eod,4,True,True,True,False,False,False
T001339,underlying_invalidation_eod,8,True,True,True,False,False,False
T001334,underlying_invalidation_eod,8,True,True,True,False,False,False
T001331,underlying_invalidation_eod,9,True,False,True,False,False,False
T001336,underlying_invalidation_eod,12,True,True,False,True,True,True
T001348,underlying_invalidation_eod,5,True,False,True,False,False,False
T001343,underlying_invalidation_eod,9,True,False,True,False,False,False
T001341,underlying_invalidation_eod,4,True,True,True,False,False,False
T001355,underlying_invalidation_eod,5,True,False,True,False,False,False
T001353,underlying_invalidation_eod,4,True,True,True,False,False,False
T001349,underlying_invalidation_eod,5,True,False,True,False,False,False
T001351,underlying_invalidation_eod,4,True,True,True,False,False,False
T001345,underlying_invalidation_eod,8,True,True,True,False,False,False
T001357,underlying_invalidation_eod,8,True,True,True,False,False,False
T001356,underlying_invalidation_eod,8,True,True,True,False,False,False
T001347,underlying_invalidation_eod,8,True,True,True,False,False,False
T001340,underlying_invalidation_eod,9,True,False,True,False,False,False
