exit_id,setup_id,symbol,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions
fixed_15m,quality_top_leaf,TSLA,9,9,9,0,3,6,0,0.3333333333333333,164.99999999999994,-230.00000000000043,0.7173913043478245,-65.00000000000048,-7.222222222222276,-0.5312600453641727,-1.19760479041916,99935.0,-0.06500000000000049,160.0,0.1598481442629502,21.0
fixed_30m,baseline,AAPL,180,608,608,0,237,355,16,0.38980263157894735,6836.0,-12181.0,0.5612018717675068,-5345.0,-8.791118421052632,-1.9987289692671553,-2.9705882352941195,94655.0,-5.345,5401.0,5.398840463814474,70.93333333333334
fixed_30m,baseline,NVDA,181,620,620,0,248,355,17,0.4,9007.0,-11402.0,0.7899491317312752,-2395.000000000001,-3.8629032258064533,-0.5803836889071272,-2.3232595790609825,97605.0,-2.395000000000001,2969.0,2.9657673136281453,71.93370165745857
fixed_30m,baseline,QQQ,209,758,758,0,296,458,4,0.39050131926121373,16207.0,-21943.0,0.738595451852527,-5736.0,-7.567282321899736,-1.4761691062151587,-3.039112790372239,94264.0,-5.736,6124.0,6.110739694862149,76.16267942583733
fixed_30m,baseline,SPY,208,717,717,0,291,422,4,0.40585774058577406,13239.0,-16735.0,0.7910965043322378,-3495.999999999999,-4.875871687587168,-1.3891437698352813,-2.7027027027026973,96504.0,-3.495999999999999,4514.0,4.503731492197789,72.38942307692308
fixed_30m,baseline,TSLA,181,784,784,0,326,438,20,0.41581632653061223,29778.0,-36835.0,0.808415908782408,-7057.0,-9.001275510204081,-1.137776702540707,-2.469177618208912,92943.0,-7.0569999999999995,8301.0,8.26982276816402,90.96132596685082
fixed_30m,inclusion,AAPL,172,452,452,0,187,255,10,0.413716814159292,5039.0,-8119.0,0.6206429363222071,-3080.0,-6.814159292035399,-1.6979200393575546,-2.116935483870969,96920.0,-3.08,3215.0,3.2119486487836557,55.1860465116279
fixed_30m,inclusion,NVDA,178,475,475,0,210,253,12,0.4421052631578947,7361.0,-8217.0,0.8958257271510284,-856.0000000000007,-1.8021052631578962,0.06809726900196916,-0.877192982456132,99144.0,-0.8560000000000006,1584.0,1.5811854898281061,56.039325842696634
fixed_30m,inclusion,QQQ,200,643,643,0,268,372,3,0.416796267496112,14774.0,-17877.0,0.8264250153828943,-3103.000000000001,-4.8258164852255065,-0.781109629920137,-2.508960573476693,96897.0,-3.103000000000001,3948.0,3.9379974863845835,67.515
fixed_30m,inclusion,SPY,204,607,607,0,266,337,4,0.4382207578253707,12368.0,-13172.0,0.9389614333434558,-803.9999999999991,-1.3245469522240512,-0.44775328440436546,-1.9230769230769273,99196.0,-0.8039999999999992,2147.0,2.1422014687100894,62.48529411764706
fixed_30m,inclusion,TSLA,181,652,652,0,280,357,15,0.4294478527607362,24818.0,-30791.0,0.806014744568218,-5973.000000000002,-9.16104294478528,-1.2298949810275095,-2.2438909774436135,94027.0,-5.973000000000002,7654.0,7.638722554890219,75.64640883977901
fixed_30m,exclusion,AAPL,111,156,156,0,68,84,4,0.4358974358974359,2013.9999999999998,-3247.0,0.6202648598706497,-1233.0000000000002,-7.903846153846155,-1.2386683103848526,-1.4913831197525373,98767.0,-1.2330000000000003,1417.0,1.4149341960737325,29.513513513513516
fixed_30m,exclusion,NVDA,110,150,150,0,77,70,3,0.5133333333333333,2428.0000000000005,-2508.000000000001,0.9681020733652311,-80.00000000000017,-0.5333333333333344,0.8207960913683003,0.9649848359525759,99920.0,-0.08000000000000017,697.0,0.6927258813123031,28.636363636363633
fixed_30m,exclusion,QQQ,115,154,154,0,69,85,0,0.44805194805194803,4367.0,-4239.0,1.0301958008964378,128.00000000000057,0.8311688311688349,0.2763511615817139,-1.8772022551092393,100128.0,0.12800000000000059,876.0,0.8677649109946607,28.121739130434783
fixed_30m,exclusion,SPY,116,157,157,0,83,73,1,0.5286624203821656,3792.0,-2583.0,1.4680603948896631,1209.0000000000007,7.700636942675164,1.9801116822702687,0.5681818181818121,101209.0,1.2090000000000007,614.0,0.6030071791245593,28.42241379310345
fixed_30m,exclusion,TSLA,118,167,167,0,83,84,0,0.49700598802395207,7994.000000000001,-6783.0,1.1785345717234263,1211.0,7.251497005988024,1.279791429799637,-0.49261083743843415,101211.0,1.2109999999999999,995.0,0.9764283331043553,29.720338983050848
fixed_30m,combined,AAPL,111,156,156,0,68,84,4,0.4358974358974359,2013.9999999999998,-3247.0,0.6202648598706497,-1233.0000000000002,-7.903846153846155,-1.2386683103848526,-1.4913831197525373,98767.0,-1.2330000000000003,1417.0,1.4149341960737325,29.513513513513516
fixed_30m,combined,NVDA,110,150,150,0,77,70,3,0.5133333333333333,2428.0000000000005,-2508.000000000001,0.9681020733652311,-80.00000000000017,-0.5333333333333344,0.8207960913683003,0.9649848359525759,99920.0,-0.08000000000000017,697.0,0.6927258813123031,28.636363636363633
fixed_30m,combined,QQQ,115,154,154,0,69,85,0,0.44805194805194803,4367.0,-4239.0,1.0301958008964378,128.00000000000057,0.8311688311688349,0.2763511615817139,-1.8772022551092393,100128.0,0.12800000000000059,876.0,0.8677649109946607,28.121739130434783
fixed_30m,combined,SPY,116,157,157,0,83,73,1,0.5286624203821656,3792.0,-2583.0,1.4680603948896631,1209.0000000000007,7.700636942675164,1.9801116822702687,0.5681818181818121,101209.0,1.2090000000000007,614.0,0.6030071791245593,28.42241379310345
fixed_30m,combined,TSLA,118,167,167,0,83,84,0,0.49700598802395207,7994.000000000001,-6783.0,1.1785345717234263,1211.0,7.251497005988024,1.279791429799637,-0.49261083743843415,101211.0,1.2109999999999999,995.0,0.9764283331043553,29.720338983050848
fixed_30m,quality_top_leaf,AAPL,11,11,11,0,3,7,1,0.2727272727272727,54.999999999999936,-238.0,0.23109243697478965,-183.00000000000006,-16.63636363636364,-5.33741839923843,-2.941176470588247,99817.0,-0.18300000000000005,198.0,0.19797030445433184,21.0
fixed_30m,quality_top_leaf,NVDA,15,15,15,0,6,9,0,0.4,303.0,-376.0000000000001,0.805851063829787,-73.00000000000014,-4.866666666666676,-2.309519585830905,-0.42918454935623185,99927.0,-0.07300000000000013,252.0,0.2515497259904771,21.0
fixed_30m,quality_top_leaf,QQQ,16,16,16,0,8,8,0,0.5,915.0,-463.0,1.9762419006479481,452.0000000000001,28.250000000000007,3.9827845435981857,1.3660135820779018,100452.0,0.4520000000000001,230.0,0.2285964179935198,21.0
fixed_30m,quality_top_leaf,SPY,13,13,13,0,8,5,0,0.6153846153846154,790.0,-320.0,2.46875,470.0,36.15384615384615,9.810895940488304,0.5681818181818121,100470.0,0.47000000000000003,164.0,0.164,21.0
fixed_30m,quality_top_leaf,TSLA,20,20,20,0,8,12,0,0.4,775.0,-736.9999999999999,1.051560379918589,37.999999999999986,1.8999999999999992,-0.2993854588362041,-4.885777865412244,100038.0,0.037999999999999985,410.0,0.4082526785358665,21.0
fixed_60m,baseline,AAPL,180,607,607,0,230,364,13,0.37891268533772654,9291.0,-14545.0,0.6387762117566174,-5254.0,-8.655683690280066,-2.4638781742933538,-3.749999999999998,94746.0,-5.2540000000000004,5254.0,5.2540000000000004,70.81666666666666
fixed_60m,baseline,NVDA,181,619,619,0,253,347,19,0.4087237479806139,12213.0,-14638.0,0.8343352917065173,-2425.000000000001,-3.9176090468497593,-0.7309913319650534,-2.67857142857143,97575.0,-2.4250000000000007,2834.0,2.823496592675248,71.81767955801105
fixed_60m,baseline,QQQ,209,758,758,0,308,444,6,0.40633245382585753,21843.0,-27847.0,0.7843932919165439,-6004.0,-7.920844327176781,-1.657522550535316,-3.4505138359528065,93996.0,-6.0040000000000004,8261.0,8.242372238740446,76.16267942583733
fixed_60m,baseline,SPY,208,717,717,0,306,406,5,0.42677824267782427,18829.0,-22499.0,0.8368816391839637,-3670.0,-5.118549511854951,-1.3399203386822165,-2.946593001841602,96330.0,-3.6700000000000004,5929.0,5.911089399120664,72.38942307692308
fixed_60m,baseline,TSLA,181,783,783,0,338,433,12,0.43167305236270753,43090.0,-46113.0,0.9344436492962939,-3022.999999999999,-3.8607918263090664,-0.590097972264123,-2.7272727272727226,96977.0,-3.022999999999999,7020.0,7.01333732953694,90.84530386740332
