exit_id,split,feature,category,winner_count,loser_count,category_count,category_win_rate,winner_share_in_category,loser_share_in_category,odds_ratio_category_vs_rest,cramers_v_feature,chi_square_p_feature,bh_q_within_exit_split
pt40_sl20_eod,full,dte_category,2,305,551,856,0.35630841121495327,0.2340752110514198,0.2547387887193712,0.8945762251718467,0.06285128119080638,0.003356329704497723,0.008390824261244307
pt40_sl20_eod,full,dte_category,3,401,542,943,0.4252386002120891,0.30775134305448965,0.25057790106333794,1.3297057584538596,0.06285128119080638,0.003356329704497723,0.008390824261244307
pt40_sl20_eod,full,dte_category,4,337,618,955,0.35287958115183243,0.25863392171910976,0.2857142857142857,0.8725719024675037,0.06285128119080638,0.003356329704497723,0.008390824261244307
pt40_sl20_eod,full,symbol,AAPL,196,408,604,0.32450331125827814,0.15042210283960092,0.18862690707350901,0.7624784834678433,0.052039999503215514,0.05213265448784543,0.07944666713448963
pt40_sl20_eod,full,symbol,NVDA,247,365,612,0.4035947712418301,0.18956254796623176,0.1687471104946833,1.1527330971129799,0.052039999503215514,0.05213265448784543,0.07944666713448963
pt40_sl20_eod,full,symbol,QQQ,287,469,756,0.37962962962962965,0.2202609363008442,0.2168284789644013,1.020790083955522,0.052039999503215514,0.05213265448784543,0.07944666713448963
pt40_sl20_eod,full,symbol,SPY,270,444,714,0.37815126050420167,0.20721412125863392,0.20527045769764216,1.0124817489250708,0.052039999503215514,0.05213265448784543,0.07944666713448963
pt40_sl20_eod,full,symbol,TSLA,303,477,780,0.38846153846153847,0.23254029163468917,0.22052704576976423,1.0714072283230112,0.052039999503215514,0.05213265448784543,0.07944666713448963
pt40_sl20_eod,full,entry_slot,10:30,263,445,708,0.3714689265536723,0.20184190330007676,0.20573277854831254,0.9768780765096639,0.041612827767961796,0.19901234456034247,0.19901234456034247
pt40_sl20_eod,full,entry_slot,11:30,236,456,692,0.34104046242774566,0.18112049117421336,0.21081830790568654,0.828673005840693,0.041612827767961796,0.19901234456034247,0.19901234456034247
pt40_sl20_eod,full,entry_slot,12:30,258,427,685,0.37664233576642336,0.19800460475825019,0.19741100323624594,1.0043270938385338,0.041612827767961796,0.19901234456034247,0.19901234456034247
pt40_sl20_eod,full,entry_slot,13:30,276,414,690,0.4,0.21181887950882577,0.1914008321775312,1.1358022299901092,0.041612827767961796,0.19901234456034247,0.19901234456034247
pt40_sl20_eod,full,entry_slot,14:30,270,421,691,0.3907380607814761,0.20721412125863392,0.19463707813222375,1.0820117981200368,0.041612827767961796,0.19901234456034247,0.19901234456034247
pt40_sl20_eod,full,right,call,710,1107,1817,0.3907539900935608,0.5448963929393706,0.5117891816920943,1.142007945367516,0.031513265670076396,0.0635573337075917,0.07944666713448963
pt40_sl20_eod,full,right,put,593,1056,1649,0.35961188599151,0.4551036070606293,0.4882108183079057,0.875650650292266,0.031513265670076396,0.0635573337075917,0.07944666713448963
pt40_sl20_eod,heldout,symbol,AAPL,69,148,217,0.31797235023041476,0.15,0.2099290780141844,0.666455960197978,0.0760146685600007,0.15076799108490146,0.37691997771225366
pt40_sl20_eod,heldout,symbol,NVDA,90,131,221,0.4072398190045249,0.1956521739130435,0.18581560283687942,1.06714798109635,0.0760146685600007,0.15076799108490146,0.37691997771225366
pt40_sl20_eod,heldout,symbol,QQQ,95,137,232,0.40948275862068967,0.20652173913043478,0.19432624113475178,1.08029847033951,0.0760146685600007,0.15076799108490146,0.37691997771225366
pt40_sl20_eod,heldout,symbol,SPY,93,134,227,0.40969162995594716,0.20217391304347826,0.1900709219858156,1.081056065548896,0.0760146685600007,0.15076799108490146,0.37691997771225366
pt40_sl20_eod,heldout,symbol,TSLA,113,155,268,0.4216417910447761,0.24565217391304348,0.2198581560283688,1.156293229082329,0.0760146685600007,0.15076799108490146,0.37691997771225366
pt40_sl20_eod,heldout,weekday,Friday,95,132,227,0.4185022026431718,0.20652173913043478,0.18723404255319148,1.1309242960018584,0.0665753063933577,0.27091960429494627,0.4515326738249104
pt40_sl20_eod,heldout,weekday,Monday,97,128,225,0.4311111111111111,0.2108695652173913,0.18156028368794327,1.205449611697772,0.0665753063933577,0.27091960429494627,0.4515326738249104
pt40_sl20_eod,heldout,weekday,Thursday,78,151,229,0.3406113537117904,0.16956521739130434,0.21418439716312057,0.7511508013546453,0.0665753063933577,0.27091960429494627,0.4515326738249104
pt40_sl20_eod,heldout,weekday,Tuesday,101,146,247,0.4089068825910931,0.21956521739130436,0.20709219858156028,1.0782751926025433,0.0665753063933577,0.27091960429494627,0.4515326738249104
pt40_sl20_eod,heldout,weekday,Wednesday,89,148,237,0.3755274261603376,0.1934782608695652,0.2099290780141844,0.9044459851996864,0.0665753063933577,0.27091960429494627,0.4515326738249104
pt40_sl20_eod,heldout,right,call,256,348,604,0.423841059602649,0.5565217391304348,0.49361702127659574,1.2866704317841395,0.059782695478868025,0.04129968331049923,0.20649841655249612
pt40_sl20_eod,heldout,right,put,204,357,561,0.36363636363636365,0.4434782608695652,0.5063829787234042,0.7771997982524298,0.059782695478868025,0.04129968331049923,0.20649841655249612
pt40_sl20_eod,heldout,entry_slot,10:30,91,143,234,0.3888888888888889,0.19782608695652174,0.2028368794326241,0.9706826722239772,0.047362966818790576,0.6244535196730255,0.6244535196730255
pt40_sl20_eod,heldout,entry_slot,11:30,82,145,227,0.36123348017621143,0.1782608695652174,0.20567375886524822,0.8396546323659589,0.047362966818790576,0.6244535196730255,0.6244535196730255
pt40_sl20_eod,heldout,entry_slot,12:30,89,140,229,0.388646288209607,0.1934782608695652,0.19858156028368795,0.9696622809328346,0.047362966818790576,0.6244535196730255,0.6244535196730255
pt40_sl20_eod,heldout,entry_slot,13:30,95,142,237,0.4008438818565401,0.20652173913043478,0.20141843971631207,1.0332253341973263,0.047362966818790576,0.6244535196730255,0.6244535196730255
pt40_sl20_eod,heldout,entry_slot,14:30,103,135,238,0.4327731092436975,0.22391304347826088,0.19148936170212766,1.2189353082342012,0.047362966818790576,0.6244535196730255,0.6244535196730255
pt40_sl20_eod,heldout,dte_category,1,99,159,258,0.38372093023255816,0.21521739130434783,0.225531914893617,0.9430707128517974,0.046774757694269885,0.46652248990946166,0.5831531123868271
pt40_sl20_eod,heldout,dte_category,2,108,179,287,0.37630662020905925,0.23478260869565218,0.25390070921985813,0.9028270017187222,0.046774757694269885,0.46652248990946166,0.5831531123868271
pt40_sl20_eod,heldout,dte_category,3,141,186,327,0.43119266055045874,0.3065217391304348,0.26382978723404255,1.2336509374986888,0.046774757694269885,0.46652248990946166,0.5831531123868271
pt40_sl20_eod,heldout,dte_category,4,112,181,293,0.3822525597269625,0.24347826086956523,0.25673758865248225,0.9328645790103988,0.046774757694269885,0.46652248990946166,0.5831531123868271
pt40_sl20_eod,train,weekday,Friday,66,179,245,0.2693877551020408,0.07829181494661921,0.12277091906721536,0.609673172173508,0.11345189475849829,5.856711957698e-06,2.928355978849e-05
pt40_sl20_eod,train,weekday,Monday,203,324,527,0.38519924098671726,0.24080664294187426,0.2222222222222222,1.110797972981913,0.11345189475849829,5.856711957698e-06,2.928355978849e-05
pt40_sl20_eod,train,weekday,Thursday,143,294,437,0.32723112128146453,0.16963226571767498,0.20164609053497942,0.8100241278058724,0.11345189475849829,5.856711957698e-06,2.928355978849e-05
pt40_sl20_eod,train,weekday,Tuesday,252,316,568,0.44366197183098594,0.298932384341637,0.2167352537722908,1.540952060456253,0.11345189475849829,5.856711957698e-06,2.928355978849e-05
pt40_sl20_eod,train,weekday,Wednesday,179,345,524,0.3416030534351145,0.21233689205219455,0.2366255144032922,0.8705859165297347,0.11345189475849829,5.856711957698e-06,2.928355978849e-05
pt40_sl20_eod,train,dte_category,1,161,293,454,0.35462555066079293,0.19098457888493475,0.200960219478738,0.9396671471628882,0.0706984772631244,0.009303362814522627,0.023258407036306567
pt40_sl20_eod,train,dte_category,2,197,372,569,0.3462214411247803,0.23368920521945433,0.2551440329218107,0.8910498969671489,0.0706984772631244,0.009303362814522627,0.023258407036306567
pt40_sl20_eod,train,dte_category,3,260,356,616,0.42207792207792205,0.3084223013048636,0.24417009602194786,1.3806574198596033,0.0706984772631244,0.009303362814522627,0.023258407036306567
